Bj (gr/cc),Visko (°E),Residu (%),T1,T2,T3,1A,1B,2A,2B,Kadar Air (%)
174.8,22.2,2.14,509,510,88,50,13,50,12,6.7
174.6,22.2,2.32,515,515,88,50,13,50,12,7.1
174.6166667,22.13333333,2.32,512,510,90,50,13,50,12,7.5
174.6,21.8,2.57,512,512,90,50,13,50,12,6.7
174.3,22.2,2.52,512,512,90,50,13,50,12,7.9
174.6166667,22.13333333,2.32,528,527,94,50,12,50,11,7.3
174.6,22.03,2.2,522,522,95,50,13,50,12,7.6
174.8,22.37,2.17,532,530,92,50,13,50,12,7
174.6166667,22.13333333,2.32,529,527,94,50,13,50,13,7.7
