timestamp;IR;BPM;Avg BPM;keterangan
14:27:03.896;7805;76.82;46;No finger?
14:27:03.916;7796;76.82;46;No finger?
14:27:03.933;8316;76.82;46;No finger?
14:27:03.952;9292;76.82;46;No finger?
14:27:03.970;10539;76.82;46;No finger?
14:27:03.986;11691;76.82;46;No finger?
14:27:04.000;12642;76.82;46;No finger?
14:27:04.033;13749;76.82;46;No finger?
14:27:04.050;17613;76.82;46;No finger?
14:27:04.066;24081;76.82;46;No finger?
14:27:04.083;24797;76.82;46;No finger?
14:27:04.100;21517;76.82;46;No finger?
14:27:04.120;18240;76.82;46;No finger?
14:27:04.140;16858;76.82;46;No finger?
14:27:04.160;17869;76.82;46;No finger?
14:27:04.180;22161;76.82;46;No finger?
14:27:04.200;30236;76.82;46;No finger?
14:27:04.220;40878;76.82;46;No finger?
14:27:04.239;51222;76.82;46;
14:27:04.259;57767;76.82;46;
14:27:04.279;58187;76.82;46;
14:27:04.299;59276;76.82;46;
14:27:04.339;69376;76.82;46;
14:27:04.342;86718;76.82;46;
14:27:04.359;96994;76.82;46;
14:27:04.380;97087;76.82;46;
14:27:04.399;95877;76.82;46;
14:27:04.419;93997;76.82;46;
14:27:04.439;89845;76.82;46;
14:27:04.466;87495;76.82;46;
14:27:04.484;88647;76.82;46;
14:27:04.501;91756;76.82;46;
14:27:04.519;94608;76.82;46;
14:27:04.539;96139;76.82;46;
14:27:04.559;97018;76.82;46;
14:27:04.579;97748;76.82;46;
14:27:04.599;98235;76.82;46;
14:27:04.619;98497;76.82;46;
14:27:04.639;99074;76.82;46;
14:27:04.659;99593;76.82;46;
14:27:04.679;99926;76.82;46;
14:27:04.699;100210;76.82;46;
14:27:04.719;100517;76.82;46;
14:27:04.739;100834;76.82;46;
14:27:04.759;101041;76.82;46;
14:27:04.779;101136;76.82;46;
14:27:04.799;101181;76.82;46;
14:27:04.819;101082;76.82;46;
14:27:04.839;100855;76.82;46;
14:27:04.859;100481;76.82;46;
14:27:04.880;100251;76.82;46;
14:27:04.899;100304;76.82;46;
14:27:04.919;100355;76.82;46;
14:27:04.939;100399;76.82;46;
14:27:04.968;100445;76.82;46;
14:27:04.983;100447;76.82;46;
14:27:05.001;100355;76.82;46;
14:27:05.019;100290;76.82;46;
14:27:05.039;100270;76.82;46;
14:27:05.059;100287;76.82;46;
14:27:05.080;100349;76.82;46;
14:27:05.100;100409;76.82;46;
14:27:05.120;100461;76.82;46;
14:27:05.140;100527;76.82;46;
14:27:05.160;100569;76.82;46;
14:27:05.180;100604;76.82;46;
14:27:05.200;100692;76.82;46;
14:27:05.220;100818;76.82;46;
14:27:05.240;100771;76.82;46;
14:27:05.260;100804;76.82;46;
14:27:05.280;100906;76.82;46;
14:27:05.300;100946;76.82;46;
14:27:05.320;100975;76.82;46;
14:27:05.340;101001;76.82;46;
14:27:05.360;101042;76.82;46;
14:27:05.381;101091;76.82;46;
14:27:05.400;101146;76.82;46;
14:27:05.420;101206;76.82;46;
14:27:05.440;101312;76.82;46;
14:27:05.467;101367;76.82;46;
14:27:05.484;101439;76.82;46;
14:27:05.501;101527;76.82;46;
14:27:05.520;101657;76.82;46;
14:27:05.540;101807;76.82;46;
14:27:05.560;101925;76.82;46;
14:27:05.580;101977;76.82;46;
14:27:05.600;101983;76.82;46;
14:27:05.620;101891;76.82;46;
14:27:05.640;101710;76.82;46;
14:27:05.660;101530;76.82;46;
14:27:05.680;101421;76.82;46;
14:27:05.700;101392;76.82;46;
14:27:05.720;101410;76.82;46;
14:27:05.740;101423;76.82;46;
14:27:05.760;101443;76.82;46;
14:27:05.780;101474;76.82;46;
14:27:05.800;101531;76.82;46;
14:27:05.820;101607;76.82;46;
14:27:05.840;101694;76.82;46;
14:27:05.860;101825;76.82;46;
14:27:05.880;101947;76.82;46;
14:27:05.900;102049;76.82;46;
14:27:05.920;102181;76.82;46;
14:27:05.940;102263;76.82;46;
14:27:05.967;102338;76.82;46;
14:27:05.985;102416;76.82;46;
14:27:06.001;102499;76.82;46;
14:27:06.020;102571;76.82;46;
14:27:06.040;102624;76.82;46;
14:27:06.060;102668;76.82;46;
14:27:06.080;102723;76.82;46;
14:27:06.100;102772;76.82;46;
14:27:06.120;102806;76.82;46;
14:27:06.140;102883;76.82;46;
14:27:06.160;103042;76.82;46;
14:27:06.180;103153;76.82;46;
14:27:06.201;103199;76.82;46;
14:27:06.222;103210;76.82;46;
14:27:06.240;103181;76.82;46;
14:27:06.260;103056;76.82;46;
14:27:06.280;102916;76.82;46;
14:27:06.300;102842;76.82;46;
14:27:06.320;102834;76.82;46;
14:27:06.341;102863;76.82;46;
14:27:06.361;102892;76.82;46;
14:27:06.381;102902;76.82;46;
14:27:06.401;102896;76.82;46;
14:27:06.421;102890;76.82;46;
14:27:06.441;102878;76.82;46;
14:27:06.468;102860;76.82;46;
14:27:06.484;102818;76.82;46;
14:27:06.501;102722;76.82;46;
14:27:06.521;102616;76.82;46;
14:27:06.541;102471;76.82;46;
14:27:06.561;102301;76.82;46;
14:27:06.581;102209;76.82;46;
14:27:06.601;102162;76.82;46;
14:27:06.621;102134;76.82;46;
14:27:06.641;102092;76.82;46;
14:27:06.661;102043;76.82;46;
14:27:06.681;102024;76.82;46;
14:27:06.701;102013;76.82;46;
14:27:06.721;102006;76.82;46;
14:27:06.741;102019;76.82;46;
14:27:06.761;102044;76.82;46;
14:27:06.781;102084;76.82;46;
14:27:06.801;102121;76.82;46;
14:27:06.821;102155;76.82;46;
14:27:06.841;102160;76.82;46;
14:27:06.861;102118;76.82;46;
14:27:06.881;101957;76.82;46;
14:27:06.901;101682;76.82;46;
14:27:06.921;101473;76.82;46;
14:27:06.941;101295;76.82;46;
14:27:06.968;101158;76.82;46;
14:27:06.984;100982;76.82;46;
14:27:07.001;100824;76.82;46;
14:27:07.021;100637;76.82;46;
14:27:07.041;100486;76.82;46;
14:27:07.060;100382;76.82;46;
14:27:07.082;100304;76.82;46;
14:27:07.102;100264;76.82;46;
14:27:07.122;100255;76.82;46;
14:27:07.141;100174;76.82;46;
14:27:07.160;99989;76.82;46;
14:27:07.181;99707;76.82;46;
14:27:07.201;99354;76.82;46;
